E100000000000191ISENTO        ISENTO        t2ti.COM                                    00000000000000000001SIF     SWEDA               ????????????????????20130105
E2000000000001913011010827133 01 PRODUTO TRIBUTADO A 7%                         ??????-00000-140
E2000000000001910312011604499 02 PRODUTO TRIBUTADO A 7%                         ??????+000000048
E2000000000001912509021501148 PRODUTO NAO TRIBUTADO                             ??????+000000049
E2000000000001911234567894568 PRODUTO PARA DAV POR 350                          ??????+000000099
E2000000000001915488654654665 PRODUTO PARA PRE VENDA POR 90                     ??????+000000099
E2000000000001918797897998555 PRODUTO PARA TESTE VALOR 200                      ??????+000000097
E2000000000001915555554444564 PRODUTO PARA TESTE VALOR 150                      ??????+000000099
E2000000000001916465487987999 PRODUTO PARA TESTE VALOR 30                       ??????+000000099
E2000000000001918521479787998 PRODUTO PARA TESTE VALOR 500                      ??????+000000098
E2000000000001918798546521325 PRODUTO PARA TESTE VALOR 50                       ??????+000000097
E2000000000001912581473698888 PRODUTO PARA TESTE VALOR 20                       ??????+000000097
E2000000000001919876465431323 PRODUTO PARA TESTE VALOR 140                      ??????+000000097
E2000000000001912548798532156 PRODUTO DE PRODUCAO PROPRIA                       ??????+000000100
E2000000000001910001170000005 01 SERVICO TRIBUTADO A 5%                         ??????+000000029
E2000000000001910001180000002 SERVICO TRIBUTADO A 3%                            ??????+000000049
E2000000000001912608021532487 02 PRODUTO TIBUTADO A 12%                         ??????+000000049
E2000000000001912106021651318 02 SERVICO TRIBUTADO A 5%                         ??????+000000049
E2000000000001910000000000023 TESTE ALBERT                                      ??????+000000010
E2000000000001910001190000009 01 PRODUTO TIBUTADO A 12%                         ??????+000000040
E2000000000001910001234567898 PRODUTO TRIBUTADO A 17%                           ??????+000000029
E2000000000001910407011150500 PRODUTO TRIBUTADO A 25%                           ??????+000000029
E2000000000001911603041234428 PRODUTO ISENTO                                    ??????+000000044
E2000000000001910507021132142 PRODUTO SUBSTITUICAO TRIBUTARI                    ??????+000000029
E900000000000191ISENTO        000023
EAD0592a458cda2ce9aeae34495981e86c3ba8e13a6c3fc9916023db58dc8351ec27afcc50c3b151806e8603f524ee0d428a9d4bf3c9b467d54071170a7c117f67c69522da29c1bd1f79631c8d91b1eb5ea4d738d8f44236439d5d5ab6e78235f6bfed08a87d417c99f930329b10955bfbb9ca6d91c77dca36ed6adaf3206ffc745
